pdb,execution_time
pdb8pqe_A_hinge_1_sigma0.8948929172439201.pdb,0.34859
pdb8pqe_A_hinge_3_sigma0.8948929172439201.pdb,0.244044
pdb8pqe_A_hinge_5_sigma0.8948929172439201.pdb,0.3035
pdb8pqe_A_hinge_4_sigma0.8948929172439201.pdb,0.253819
pdb6g8l_A_hinge_1_sigma0.8948929172439201.pdb,1.247397
pdb6g8l_A_hinge_0_sigma0.8948929172439201.pdb,1.312456
pdb6g8l_A_hinge_3_sigma0.8948929172439201.pdb,1.361088
pdb6g8l_A_hinge_4_sigma0.8948929172439201.pdb,1.216849
pdb6g8l_A_hinge_2_sigma0.8948929172439201.pdb,1.201384
pdb6g8l_A_hinge_5_sigma0.8948929172439201.pdb,1.203687
pdb6nev_A_hinge_5_sigma0.8948929172439201.pdb,0.951197
pdb6nev_A_hinge_1_sigma0.8948929172439201.pdb,0.94167
pdb6nev_A_hinge_3_sigma0.8948929172439201.pdb,0.911499
pdb6nev_A_hinge_4_sigma0.8948929172439201.pdb,0.958833
pdb6nev_A_hinge_0_sigma0.8948929172439201.pdb,0.914044
pdb6nev_A_hinge_2_sigma0.8948929172439201.pdb,0.900103
pdb1vl4_A_hinge_4_sigma0.8948929172439201.pdb,0.745214
pdb1vl4_A_hinge_0_sigma0.8948929172439201.pdb,0.714971
pdb1vl4_A_hinge_1_sigma0.8948929172439201.pdb,0.815238
pdb1vl4_A_hinge_5_sigma0.8948929172439201.pdb,0.741094
pdb1vl4_A_hinge_3_sigma0.8948929172439201.pdb,0.756687
pdb1vl4_A_hinge_2_sigma0.8948929172439201.pdb,0.807576
pdb6yv6_A_hinge_2_sigma0.8948929172439201.pdb,0.229212
pdb6yv6_A_hinge_4_sigma0.8948929172439201.pdb,0.20797
pdb6yv6_A_hinge_1_sigma0.8948929172439201.pdb,0.20608
pdb6yv6_A_hinge_5_sigma0.8948929172439201.pdb,0.16145
pdb6yv6_A_hinge_3_sigma0.8948929172439201.pdb,0.206066
pdb6yv6_A_hinge_0_sigma0.8948929172439201.pdb,0.20107
pdb4ryy_A_hinge_0_sigma0.8948929172439201.pdb,2.056264
pdb4ryy_A_hinge_3_sigma0.8948929172439201.pdb,1.765224
pdb4ryy_A_hinge_5_sigma0.8948929172439201.pdb,1.886741
pdb4ryy_A_hinge_1_sigma0.8948929172439201.pdb,1.910758
pdb4ryy_A_hinge_4_sigma0.8948929172439201.pdb,1.893428
pdb4ryy_A_hinge_2_sigma0.8948929172439201.pdb,1.803331
pdb7f6f_A_hinge_3_sigma0.8948929172439201.pdb,0.685387
pdb7f6f_A_hinge_2_sigma0.8948929172439201.pdb,0.658438
pdb7f6f_A_hinge_5_sigma0.8948929172439201.pdb,0.660043
pdb7f6f_A_hinge_4_sigma0.8948929172439201.pdb,0.635718
pdb7f6f_A_hinge_1_sigma0.8948929172439201.pdb,0.568383
pdb7f6f_A_hinge_0_sigma0.8948929172439201.pdb,0.680737
pdb5tf3_A_hinge_0_sigma0.8948929172439201.pdb,0.233154
pdb5tf3_A_hinge_2_sigma0.8948929172439201.pdb,0.176455
pdb5tf3_A_hinge_4_sigma0.8948929172439201.pdb,0.177711
pdb5tf3_A_hinge_3_sigma0.8948929172439201.pdb,0.239488
pdb5tf3_A_hinge_5_sigma0.8948929172439201.pdb,0.162019
pdb5tf3_A_hinge_1_sigma0.8948929172439201.pdb,0.226469
pdb6hai_A_hinge_1_sigma0.8948929172439201.pdb,0.778184
pdb6hai_A_hinge_5_sigma0.8948929172439201.pdb,0.857703
pdb6hai_A_hinge_0_sigma0.8948929172439201.pdb,0.848571
pdb6hai_A_hinge_3_sigma0.8948929172439201.pdb,0.733773
pdb6hai_A_hinge_2_sigma0.8948929172439201.pdb,0.787332
pdb6hai_A_hinge_4_sigma0.8948929172439201.pdb,0.833803
pdb4oz0_A_hinge_0_sigma0.8948929172439201.pdb,0.067243
pdb4oz0_A_hinge_1_sigma0.8948929172439201.pdb,0.088992
pdb4oz0_A_hinge_2_sigma0.8948929172439201.pdb,0.057746
pdb4oz0_A_hinge_4_sigma0.8948929172439201.pdb,0.075777
pdb4oz0_A_hinge_3_sigma0.8948929172439201.pdb,0.066478
pdb7twc_A_hinge_5_sigma0.8948929172439201.pdb,0.882823
pdb7twc_A_hinge_2_sigma0.8948929172439201.pdb,0.901471
