pdb_pair,execution_time
pdb5pio_A_original_pdb5pio_A_hinge_3_sigma0.8948929172439201.command,0.0137280002
pdb7w2w_A_original_pdb7w2w_A_hinge_5_sigma0.8948929172439201.command,0.115138993
pdb7jqa_A_original_pdb7jqa_A_hinge_0_sigma0.8948929172439201.command,0.2562398910522461
pdb5sow_A_original_pdb5sow_A_hinge_1_sigma0.8948929172439201.command,0.1548292636871338
pdb6toy_A_original_pdb6toy_A_hinge_0_sigma0.8948929172439201.command,0.24866890907287598
pdb6exd_A_original_pdb6exd_A_hinge_3_sigma0.8948929172439201.command,0.00848500058
pdb5eg4_A_original_pdb5eg4_A_hinge_4_sigma0.8948929172439201.command,0.0253070034
pdb2xfg_A_original_pdb2xfg_A_hinge_1_sigma0.8948929172439201.command,0.19246602058410645
pdb5upv_A_original_pdb5upv_A_hinge_0_sigma0.8948929172439201.command,0.191666841506958
pdb3lsn_A_original_pdb3lsn_A_hinge_2_sigma0.8948929172439201.command,0.0117230006
pdb5hvy_A_original_pdb5hvy_A_hinge_1_sigma0.8948929172439201.command,0.2090907096862793
pdb7l2f_A_original_pdb7l2f_A_hinge_5_sigma0.8948929172439201.command,0.433476031
pdb6djg_A_original_pdb6djg_A_hinge_1_sigma0.8948929172439201.command,0.0591689982
pdb4xqa_A_original_pdb4xqa_A_hinge_2_sigma0.8948929172439201.command,0.00714699924
pdb3vg2_A_original_pdb3vg2_A_hinge_1_sigma0.8948929172439201.command,0.00630999915
pdb3kae_A_original_pdb3kae_A_hinge_0_sigma0.8948929172439201.command,0.11066508293151855
pdb6ia1_A_original_pdb6ia1_A_hinge_2_sigma0.8948929172439201.command,0.0120499991
pdb4fgx_A_original_pdb4fgx_A_hinge_0_sigma0.8948929172439201.command,0.18320298194885254
pdb4h82_A_original_pdb4h82_A_hinge_3_sigma0.8948929172439201.command,0.00859699957
pdb5gk3_A_original_pdb5gk3_A_hinge_2_sigma0.8948929172439201.command,0.0272920001
